ID;latitude;longitude;tags
2483881630;40.3339989;23.9222025;[]
2483881631;40.3340515;23.9214933;[]
2483881632;40.334076;23.9201758;[]
2483881633;40.3342618;23.9231679;[]
2483881634;40.3340917;23.9215558;[]
2483881635;40.3342552;23.9205474;[]
2483881636;40.334235;23.9217425;[]
2483881637;40.334332;23.9218991;[]
2483881639;40.3344306;23.9220843;[]
2483881640;40.3344692;23.9221895;[]
2483881641;40.3346944;23.9229564;[]
2483881643;40.3345885;23.9219637;[]
2486388791;40.3115655;23.9471322;[]
2486388793;40.3115256;23.9473012;[]
2486388794;40.3115991;23.9468049;[]
2486388795;40.3116228;23.9464362;[]
2486388796;40.3116074;23.9462377;[]
2486388798;40.31168;23.946003;[]
2486388799;40.3118304;23.9460433;[]
2486388800;40.3115727;23.9459614;[]
2486388801;40.3115134;23.9460352;[]
2486388802;40.3118907;23.9460339;[]
2486388804;40.3115318;23.9459816;[]
2486388805;40.3119214;23.9459668;[]
2486388806;40.3120134;23.9456704;[]
2486388807;40.3118489;23.9467414;[]
2486388808;40.3118629;23.9470939;[]
2486388810;40.3118908;23.9463208;[]
2486388811;40.3119147;23.9468881;[]
2486388812;40.3119806;23.9464491;[]
2486388813;40.3120193;23.945884;[]
2486388814;40.3121188;23.9453486;[]
2486388816;40.3121263;23.9460135;[]
2486388817;40.3121576;23.945197;[]
2486388818;40.3122021;23.9450669;[]
2486388819;40.3122819;23.9451892;[]
2486388820;40.3123278;23.9448281;[]
2486388821;40.3123471;23.9446177;[]
2486388823;40.3123626;23.9443119;[]
2486388824;40.3123884;23.9439917;[]
2486388825;40.3124502;23.9438219;[]
2486388826;40.3125121;23.9437546;[]
2486388827;40.3124974;23.9450604;[]
2486388828;40.3125831;23.9445391;[]
2486388829;40.3126934;23.9437614;[]
2486388830;40.312771;23.9437368;[]
2486388831;40.312878;23.9440378;[]
2486388832;40.3128865;23.9436473;[]
2486388833;40.313049;23.9438263;[]
2486388834;40.3130322;23.9435676;[]
2486388835;40.3131166;23.9439386;[]
2486388836;40.3132989;23.9434229;[]
2486388837;40.3134294;23.9433034;[]
2486388838;40.3135353;23.9431869;[]
2486388839;40.3136491;23.9430581;[]
2486388840;40.3137164;23.9429636;[]
2486388841;40.3138047;23.9427922;[]
2486388842;40.3140891;23.942526;[]
2486388843;40.3141693;23.9424913;[]
2486388844;40.3144067;23.9424924;[]
2486388845;40.3144848;23.9424831;[]
2486388847;40.314533;23.942444;[]
2486388848;40.3146071;23.9423153;[]
2486388849;40.3146644;23.9411786;[]
2486388850;40.3146861;23.9408899;[]
2486388851;40.3146941;23.9421747;[]
2486388852;40.3147068;23.941403;[]
2486388853;40.3147483;23.9404715;[]
2486388854;40.3147533;23.9415835;[]
2486388855;40.3147913;23.9416905;[]
2486388856;40.314798;23.9402494;[]
2486388857;40.3148779;23.9420162;[]
2486388858;40.3148785;23.9417859;[]
2486388859;40.3149221;23.9419463;[]
2486388860;40.3149193;23.9399822;[]
2486388861;40.3149298;23.9418766;[]
2486388862;40.3149939;23.9398636;[]
2486388863;40.3151398;23.939681;[]
2486388864;40.3152527;23.939439;[]
2486388865;40.3153416;23.9391223;[]
2486388866;40.315407;23.9388721;[]
2486388867;40.315471;23.938527;[]
2486388868;40.3155046;23.9384009;[]
2486388870;40.3155628;23.9292717;[]
2486388871;40.3155789;23.929585;[]
2486388872;40.3156004;23.9382157;[]
2486388873;40.3156289;23.9290665;[]
2486388874;40.315698;23.9299851;[]
2486388875;40.315742;23.9379933;[]
2486388876;40.3158064;23.9286373;[]
2486388877;40.315856;23.9284793;[]
2486388878;40.3158989;23.9304564;[]
2486388879;40.3159711;23.9282743;[]
2486388880;40.3160058;23.9306347;[]
2486388881;40.3161352;23.9279356;[]
2486388882;40.316198;23.9309595;[]
2486388883;40.3162518;23.9277521;[]
2486388884;40.3162332;23.9371244;[]
2486388885;40.3163146;23.9310971;[]
2486388886;40.3163502;23.9276576;[]
2486388887;40.3163827;23.9368572;[]
2486388888;40.3163147;23.9331516;[]
2486388889;40.3160227;23.9334272;[]
2486388890;40.3164092;23.9324359;[]
2486388891;40.3164069;23.932156;[]
